id,time,lat,lon,temp,precip,cloudcover,humidity,pressure,sunset,winddir,windgust,windspeed,venue_city,home_country_id
10419625,2019-04-12T20:45:00,47.255631,-1.525375,11.1,0.0,,63.19,,2019-04-12T20:50:29+02:00,43.0,0.0,0.0,Nantes,17
10419626,2019-04-14T15:00:00,48.107458,-1.712839,10.8,0.0,13.1,42.58,1021.3,2019-04-14T20:55:24+02:00,114.0,35.0,14.2,Rennes,17
10419627,2019-04-14T17:00:00,45.460833,4.390278,9.9,0.0,0.3,36.7,1017.9,2019-04-14T20:26:51+02:00,323.0,37.3,20.6,Saint-etienne,17
10419628,2019-04-13T20:00:00,48.560083,7.755,4.0,0.0,73.5,80.37,1021.1,2019-04-13T20:16:46+02:00,333.0,22.2,15.5,Strasbourg,17
10419629,2019-04-19T19:00:00,47.324383,5.068342,21.9,0.0,0.0,46.88,1024.0,2019-04-19T20:33:58+02:00,118.0,11.4,5.4,Dijon,17
10419630,2019-04-20T17:00:00,48.566285,-3.164599,16.6,0.0,7.3,63.5,1026.2,2019-04-20T21:10:48+02:00,25.0,24.4,13.9,Guingamp,17
10419631,2019-04-19T20:45:00,45.75322,4.97318,19.2,0.0,,47.03,,2019-04-19T20:31:28+02:00,26.0,3.5,1.9,Décines-Charpieu,17
10419632,2019-04-21T15:00:00,47.255631,-1.525375,21.8,0.0,0.0,49.61,1016.0,2019-04-21T21:03:00+02:00,207.0,18.5,7.9,Nantes,17
10419633,2019-04-20T20:00:00,43.705139,7.192583,17.9,0.0,89.9,52.51,1021.0,2019-04-20T20:20:17+02:00,65.0,31.9,22.5,Nice,17
10419634,2019-04-20T20:00:00,43.815972,4.359278,17.5,0.0,39.7,49.51,1021.3,2019-04-20T20:31:49+02:00,235.0,19.6,8.9,Nîmes,17
10419635,2019-04-21T17:00:00,49.246389,4.025,24.2,0.0,0.0,25.29,1015.0,2019-04-21T20:44:56+02:00,110.0,18.6,12.9,Reims,17
10419636,2019-04-20T20:00:00,48.560083,7.755,22.8,0.0,0.0,22.97,1022.1,2019-04-20T20:27:04+02:00,34.0,31.5,18.9,Strasbourg,17
10419637,2019-04-21T15:00:00,43.583056,1.434167,15.3,0.0,98.5,68.17,1014.9,2019-04-21T20:44:19+02:00,87.0,35.1,17.6,Toulouse,17
10419638,2019-04-21T21:00:00,48.841389,2.253056,19.5,0.0,44.0,34.38,1013.5,2019-04-21T20:51:09+02:00,91.0,16.6,5.9,Paris,17
10419639,2019-04-28T15:00:00,49.894209,2.263312,11.6,0.0,48.2,71.34,1019.9,2019-04-28T21:04:15+02:00,287.0,39.7,20.2,Amiens,17
10419640,2019-04-28T15:00:00,47.460458,-0.530741,12.9,0.0,10.3,66.03,1024.3,2019-04-28T21:09:12+02:00,292.0,33.6,17.6,Angers,17
10419641,2019-04-26T20:45:00,44.897222,-0.561667,,0.0,,,,,,,,Bordeaux,17
10419642,2019-04-28T15:00:00,49.179461,-0.396767,12.1,0.0,62.1,61.79,1022.8,2019-04-28T21:13:00+02:00,330.0,42.4,25.8,Caen,17
10419643,2019-04-28T15:00:00,50.631111,3.1375,9.0,0.0,69.1,88.16,1019.2,2019-04-28T21:02:47+02:00,287.0,34.9,6.1,Villeneuve d'Ascq,17
10419644,2019-04-28T21:00:00,43.269722,5.395833,14.9,0.0,8.3,37.26,1017.5,2019-04-28T20:36:06+02:00,345.0,61.3,40.3,Marseille,17
10419645,2019-04-30T19:00:00,43.622222,3.811944,19.2,0.0,4.1,41.58,1014.4,2019-04-30T20:45:31+02:00,244.0,24.4,14.4,Montpellier,17
10419646,2019-04-28T15:00:00,43.705139,7.192583,16.8,0.0,37.8,66.43,1013.0,2019-04-28T20:29:48+02:00,101.0,14.9,7.6,Nice,17
10419647,2019-05-01T19:00:00,48.107458,-1.712839,14.2,0.0,0.3,55.24,1017.1,2019-05-01T21:19:47+02:00,327.0,29.6,17.7,Rennes,17
10419648,2019-04-28T17:00:00,45.460833,4.390278,10.0,0.0,93.4,57.85,1021.9,2019-04-28T20:44:50+02:00,353.0,24.6,11.2,Saint-etienne,17
10419649,2019-05-04T20:00:00,44.897222,-0.561667,10.0,0.0,92.0,68.23,1017.8,2019-05-04T21:10:49+02:00,18.0,51.2,32.5,Bordeaux,17
10419650,2019-05-04T20:00:00,48.566285,-3.164599,9.3,0.0,1.8,56.34,1023.9,2019-05-04T21:31:09+02:00,18.0,40.4,20.0,Guingamp,17
10419651,2019-05-05T21:00:00,45.75322,4.97318,8.0,0.0,5.3,60.31,1018.7,2019-05-05T20:52:06+02:00,360.0,38.0,13.1,Décines-Charpieu,17
10419652,2019-05-05T17:00:00,43.727606,7.415614,11.9,0.0,53.8,59.66,1003.5,2019-05-05T20:37:11+02:00,170.0,8.2,3.7,Monaco,75285
10419653,2019-05-05T15:00:00,43.622222,3.811944,13.8,0.0,3.7,27.95,1014.2,2019-05-05T20:51:21+02:00,338.0,69.3,41.3,Montpellier,17
10419654,2019-05-05T15:00:00,47.255631,-1.525375,12.0,0.0,88.6,45.82,1025.8,2019-05-05T21:22:13+02:00,21.0,33.7,13.2,Nantes,17
10419655,2019-05-04T17:00:00,48.841389,2.253056,8.6,0.0,9.1,66.05,1016.2,2019-05-04T21:10:15+02:00,358.0,52.3,17.9,Paris,17
10419656,2019-05-04T20:00:00,49.246389,4.025,6.3,0.0,0.0,71.51,1015.7,2019-05-04T21:04:22+02:00,350.0,42.7,19.1,Reims,17
10419657,2019-05-03T20:45:00,48.560083,7.755,12.2,0.0,0.0,66.11,,2019-05-03T20:45:58+02:00,342.0,6.1,2.2,Strasbourg,17
10419658,2019-05-05T15:00:00,43.583056,1.434167,11.8,0.0,69.7,47.08,1022.3,2019-05-05T21:00:47+02:00,320.0,46.3,29.7,Toulouse,17
10419659,2019-05-11T20:00:00,49.894209,2.263312,11.7,0.0,56.0,65.34,1024.5,2019-05-11T21:23:47+02:00,351.0,35.6,20.5,Amiens,17
10419660,2019-05-11T17:00:00,47.460458,-0.530741,17.2,0.0,12.8,52.3,1023.3,2019-05-11T21:26:48+02:00,323.0,35.0,16.3,Angers,17
10419661,2019-05-11T20:00:00,49.179461,-0.396767,13.0,0.0,1.7,66.99,1026.7,2019-05-11T21:31:56+02:00,330.0,38.9,18.3,Caen,17
10419662,2019-05-11T20:00:00,47.324383,5.068342,10.2,0.0,60.5,84.78,1022.2,2019-05-11T21:03:58+02:00,311.0,57.6,16.2,Dijon,17
10419663,2019-05-12T17:00:00,50.631111,3.1375,14.7,0.0,2.0,45.1,1036.1,2019-05-12T21:24:26+02:00,351.0,40.1,22.3,Villeneuve d'Ascq,17
10419664,2019-05-11T20:00:00,43.705139,7.192583,22.7,0.0,27.0,24.53,1008.7,2019-05-11T20:44:53+02:00,264.0,38.1,21.5,Nice,17
10419665,2019-05-11T20:00:00,43.815972,4.359278,16.4,0.0,37.8,59.0,1019.7,2019-05-11T20:56:32+02:00,1.0,44.6,20.0,Nîmes,17
10419666,2019-05-12T15:00:00,48.107458,-1.712839,18.0,0.0,0.1,40.29,1034.5,2019-05-12T21:34:58+02:00,73.0,31.7,19.8,Rennes,17
10419667,2019-05-10T20:45:00,45.460833,4.390278,17.4,0.0,,69.87,,2019-05-10T20:59:49+02:00,187.0,6.3,3.0,Saint-etienne,17
10419668,2019-05-12T21:00:00,43.269722,5.395833,16.9,0.0,0.0,40.58,1016.5,2019-05-12T20:52:00+02:00,354.0,68.4,41.4,Marseille,17
10419669,2019-05-18T21:00:00,44.897222,-0.561667,13.0,0.0,55.7,81.11,1009.3,2019-05-18T21:27:15+02:00,251.0,21.6,12.5,Bordeaux,17
10419670,2019-05-18T21:00:00,48.566285,-3.164599,12.2,0.0,56.8,86.55,1008.8,2019-05-18T21:50:15+02:00,348.0,15.2,7.8,Guingamp,17
10419671,2019-05-18T21:00:00,50.631111,3.1375,16.1,0.0,51.5,66.41,1006.5,2019-05-18T21:33:06+02:00,343.0,29.3,18.1,Villeneuve d'Ascq,17
10419672,2019-05-18T21:00:00,45.75322,4.97318,14.1,0.0,73.4,81.93,1006.3,2019-05-18T21:07:51+02:00,358.0,8.1,0.5,Décines-Charpieu,17
10419673,2019-05-18T21:00:00,43.727606,7.415614,12.4,0.0,66.3,78.95,1006.4,2019-05-18T20:51:42+02:00,320.0,11.3,3.4,Monaco,75285
10419674,2019-05-18T21:00:00,43.622222,3.811944,16.0,0.0,9.1,58.02,1006.9,2019-05-18T21:05:48+02:00,281.0,29.1,14.9,Montpellier,17
10419675,2019-05-18T21:00:00,48.841389,2.253056,14.9,0.0,49.9,82.62,1006.0,2019-05-18T21:29:35+02:00,311.0,26.7,10.9,Paris,17
10419676,2019-05-18T21:00:00,45.460833,4.390278,12.2,0.0,60.9,86.44,1006.8,2019-05-18T21:09:14+02:00,310.0,7.9,5.3,Saint-etienne,17
10419677,2019-05-18T21:00:00,48.560083,7.755,13.9,0.0,98.4,83.8,1005.8,2019-05-18T21:06:30+02:00,335.0,16.2,8.4,Strasbourg,17
10419678,2019-05-18T21:00:00,43.583056,1.434167,12.1,0.0,51.9,75.36,1010.4,2019-05-18T21:15:12+02:00,284.0,37.5,19.2,Toulouse,17
10419679,2019-05-24T21:05:00,49.894209,2.263312,17.2,0.0,40.6,59.74,1016.8,2019-05-24T21:41:24+02:00,351.0,29.2,15.7,Amiens,17
10419680,2019-05-24T21:05:00,47.460458,-0.530741,17.1,0.0,0.9,56.1,1018.6,2019-05-24T21:42:43+02:00,329.0,31.7,14.8,Angers,17
